id,Details,NDVI_TAMU,NDVI_WSU,Yield
125,HiRain_SWW_SP,0.92959356,0.537431384,73.504
126,HiRain_SWW_SP,0.950989649,0.616042487,78.176
127,HiRain_SWW_SP,0.953999818,0.646247443,100.672
128,HiRain_SWW_SP,0.941408311,0.587386139,90.944
129,HiRain_SWW_SP,0.952058271,0.622798154,104.16
130,HiRain_SWW_SP,0.952862125,0.63083533,91.232
131,HiRain_SWW_SP,0.950932629,0.612899005,106.208
132,HiRain_SWW_SP,0.953412246,0.634680937,88.192
133,HiRain_SWW_SP,0.951838821,0.622981009,93.408
134,HiRain_SWW_SP,0.935085332,0.551258955,80.352
135,HiRain_SWW_SP,0.941651676,0.575696975,86.016
136,HiRain_SWW_SP,0.939759434,0.563151403,94.272
137,HiRain_SWW_SP,0.943971378,0.588673078,99.52
138,HiRain_SWW_SP,0.949397178,0.612308508,95.456
139,HiRain_SWW_SP,0.916844819,0.458859283,79.168
140,HiRain_SWW_SP,0.903988583,0.436645457,79.168
141,HiRain_SWW_SP,0.951364808,0.612855878,93.696
142,HiRain_SWW_SP,0.944089526,0.581815693,91.808
143,HiRain_SWW_SP,0.946481714,0.599484074,106.208
144,HiRain_SWW_SP,0.945532686,0.600058857,94.432
145,HiRain_SWW_SP,0.952529889,0.644878565,98.656
146,HiRain_SWW_SP,0.960198681,0.671676004,100.544
147,HiRain_SWW_SP,0.956295739,0.639750853,90.816
148,HiRain_SWW_SP,0.955425521,0.638387121,92.256
149,HiRain_SWW_SP,0.950835055,0.623893308,89.632
150,HiRain_SWW_SP,0.960429889,0.674698026,101.856
151,HiRain_SWW_SP,0.966409549,0.724175862,109.984
152,HiRain_SWW_SP,0.953408096,0.628612993,106.048
153,HiRain_SWW_SP,0.959617817,0.670968771,98.368
154,HiRain_SWW_SP,0.958682094,0.66270688,105.76
155,HiRain_SWW_SP,0.962326033,0.690605787,116.512
156,HiRain_SWW_SP,0.962807137,0.694086971,110.848
157,HiRain_SWW_SP,0.968315152,0.728106778,111.584
158,HiRain_SWW_SP,0.954208764,0.651612145,109.248
159,HiRain_SWW_SP,0.958242389,0.65666735,111.296
160,HiRain_SWW_SP,0.944692437,0.599596597,83.232
